iso_country_code,country,world_region,survey_source ,survey_year,subnational_region,mpi_country,mpi_region,hr_poor,deprivation_intensity,poverty_vulnerability,hr_severe_poverty,population_country_survey_year,population_country_2020,population _country_2021,Population 2021,population _region_2021,population_mpi_poor,n_indicators,missing_indicators
COL,Colombia,Latin America and the Caribbean,DHS,2015-2016,Litoral Pacifico,0.02,0.085,20.79,40.96,15.71,3.59,"47,626","50,931","51,517",2.78,"1,434",298,9,Nutrition
COL,Colombia,Latin America and the Caribbean,DHS,2015-2016,Medellin A.M.,0.02,0.001,0.41,35.82,1.09,0.02,"47,626","50,931","51,517",8.96,"4,616",19,9,Nutrition
COL,Colombia,Latin America and the Caribbean,DHS,2015-2016,Orinoquia Y Amazonia,0.02,0.03,7.4,41.17,7.44,1.66,"47,626","50,931","51,517",2.58,"1,330",98,9,Nutrition
COL,Colombia,Latin America and the Caribbean,DHS,2015-2016,Santanderes,0.02,0.018,4.54,38.83,6.2,0.46,"47,626","50,931","51,517",7.13,"3,673",167,9,Nutrition
COL,Colombia,Latin America and the Caribbean,DHS,2015-2016,"Tolima, Huila, Caqueta",0.02,0.027,7.09,38.67,10.64,0.91,"47,626","50,931","51,517",6.43,"3,313",235,9,Nutrition
COL,Colombia,Latin America and the Caribbean,DHS,2015-2016,Valle Sin Cali Ni Litoral,0.02,0.006,1.68,36.76,4.19,0.16,"47,626","50,931","51,517",2.95,"1,518",26,9,Nutrition
COM,Comoros,Sub-Saharan Africa,DHS,2012,Mwali (Mohéli),0.181,0.222,45.65,48.61,21.01,20.3,685,806,822,6.64,55,25,10,
COM,Comoros,Sub-Saharan Africa,DHS,2012,Ndzuwani (Ndzouani or Anjouan),0.181,0.234,44.87,52.05,21.1,23.44,685,806,822,47.99,394,177,10,
COM,Comoros,Sub-Saharan Africa,DHS,2012,Ngazidja (Grande Comore),0.181,0.119,28,42.49,23.66,7.68,685,806,822,45.37,373,104,10,
COG,Congo,Sub-Saharan Africa,MICS,2014-2015,Bouenza,0.112,0.217,45.74,47.39,23.6,19.83,"5,064","5,702","5,836",6.74,394,180,10,
